Class Path,P1,P2,P3,P4,P5
project-fast\src\main\java\io\linfeng\Applications.java,35,28,25,35,26
project-fast\src\main\java\io\linfeng\common\aspect\RedisAspect.java,52,37,33,52,39
project-fast\src\main\java\io\linfeng\common\aspect\SysLogAspect.java,85,78,71,89,75
project-fast\src\main\java\io\linfeng\common\exception\LinfengException.java,40,37,34,43,33
project-fast\src\main\java\io\linfeng\common\exception\LinfengExceptionHandler.java,60,53,48,63,45
project-fast\src\main\java\io\linfeng\common\thread\AsyncTaskExecutePool.java,55,49,36,59,47
project-fast\src\main\java\io\linfeng\common\utils\AppPageUtils.java,70,56,43,60,58
project-fast\src\main\java\io\linfeng\common\utils\CopyPageQueryUtil.java,62,48,38,50,51
project-fast\src\main\java\io\linfeng\common\utils\DateUtil.java,292,278,243,284,271
project-fast\src\main\java\io\linfeng\common\utils\DateUtils.java,75,68,60,79,61
project-fast\src\main\java\io\linfeng\common\utils\FileCheckUtil.java,35,27,25,39,31
project-fast\src\main\java\io\linfeng\common\utils\HttpContextUtils.java,64,56,55,72,58
project-fast\src\main\java\io\linfeng\common\utils\IPUtil.java,45,37,36,49,31
project-fast\src\main\java\io\linfeng\common\utils\IPUtils.java,55,47,45,57,49
project-fast\src\main\java\io\linfeng\common\utils\JsonUtils.java,30,24,27,28,19
project-fast\src\main\java\io\linfeng\common\utils\MapUtils.java,34,23,21,27,23
project-fast\src\main\java\io\linfeng\common\utils\PageUtils.java,54,42,37,48,36
project-fast\src\main\java\io\linfeng\common\utils\Query.java,93,78,71,90,74
project-fast\src\main\java\io\linfeng\common\utils\R.java,55,45,42,54,41
project-fast\src\main\java\io\linfeng\common\utils\RedisKeys.java,22,10,9,23,13
project-fast\src\main\java\io\linfeng\common\utils\RedisUtils.java,107,96,87,105,93
project-fast\src\main\java\io\linfeng\common\utils\RequestUtils.java,35,28,26,34,25
project-fast\src\main\java\io\linfeng\common\utils\ShiroUtils.java,81,66,57,71,69
project-fast\src\main\java\io\linfeng\common\utils\SpringContextUtils.java,75,67,59,81,66
project-fast\src\main\java\io\linfeng\common\utils\WechatUtil.java,83,76,66,89,71
project-fast\src\main\java\io\linfeng\common\validator\Assert.java,55,44,42,58,43
project-fast\src\main\java\io\linfeng\common\validator\ValidatorUtils.java,58,54,46,64,45
project-fast\src\main\java\io\linfeng\common\xss\HTMLFilter.java,502,482,448,498,481
project-fast\src\main\java\io\linfeng\common\xss\SQLFilter.java,39,32,26,38,26
project-fast\src\main\java\io\linfeng\common\xss\XssFilter.java,57,45,38,59,39
project-fast\src\main\java\io\linfeng\common\xss\XssHttpServletRequestWrapper.java,225,217,198,233,218
project-fast\src\main\java\io\linfeng\config\CorsConfig.java,55,43,39,48,45
project-fast\src\main\java\io\linfeng\config\FilterConfig.java,45,33,28,38,35
project-fast\src\main\java\io\linfeng\config\KaptchaConfig.java,47,36,30,40,36
project-fast\src\main\java\io\linfeng\config\MybatisPlusConfig.java,20,14,15,19,15
project-fast\src\main\java\io\linfeng\config\RedisConfig.java,64,51,46,49,52
project-fast\src\main\java\io\linfeng\config\ShiroConfig.java,95,89,78,100,91
project-fast\src\main\java\io\linfeng\config\SwaggerConfig.java,53,45,43,51,47
project-fast\src\main\java\io\linfeng\datasource\aspect\DataSourceAspect.java,102,88,84,105,86
project-fast\src\main\java\io\linfeng\datasource\config\DynamicContextHolder.java,137,124,115,127,130
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSource.java,33,21,23,27,22
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSourceConfig.java,64,52,46,55,56
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSourceFactory.java,74,56,50,63,59
project-fast\src\main\java\io\linfeng\datasource\properties\DataSourceProperties.java,46,35,31,50,33
project-fast\src\main\java\io\linfeng\datasource\properties\DynamicDataSourceProperties.java,45,34,36,39,42
project-fast\src\main\java\io\linfeng\modules\job\config\ScheduleConfig.java,40,32,29,40,28
project-fast\src\main\java\io\linfeng\modules\job\controller\ScheduleJobController.java,63,58,50,72,62
project-fast\src\main\java\io\linfeng\modules\job\controller\ScheduleJobLogController.java,65,51,47,60,48
project-fast\src\main\java\io\linfeng\modules\job\dao\ScheduleJobDao.java,25,15,16,20,21
project-fast\src\main\java\io\linfeng\modules\job\service\impl\ScheduleJobLogServiceImpl.java,52,41,35,47,38
project-fast\src\main\java\io\linfeng\modules\job\service\impl\ScheduleJobServiceImpl.java,145,127,118,132,130
project-fast\src\main\java\io\linfeng\modules\job\service\ScheduleJobLogService.java,30,12,13,21,14
project-fast\src\main\java\io\linfeng\modules\job\service\ScheduleJobService.java,43,25,22,39,23
project-fast\src\main\java\io\linfeng\modules\job\task\ITask.java,31,22,20,32,19
project-fast\src\main\java\io\linfeng\modules\job\task\TestTask.java,34,31,25,38,25
project-fast\src\main\java\io\linfeng\modules\job\utils\ScheduleJob.java,65,57,51,67,54
project-fast\src\main\java\io\linfeng\modules\job\utils\ScheduleUtils.java,170,161,150,176,160
project-fast\src\main\java\io\linfeng\modules\oss\cloud\AliyunCloudStorageService.java,55,46,40,61,45
project-fast\src\main\java\io\linfeng\modules\oss\cloud\CloudStorageService.java,45,31,27,38,26
project-fast\src\main\java\io\linfeng\modules\oss\cloud\OSSFactory.java,55,42,35,58,45
project-fast\src\main\java\io\linfeng\modules\oss\cloud\QcloudCloudStorageService.java,75,69,57,78,63
project-fast\src\main\java\io\linfeng\modules\oss\cloud\QiniuCloudStorageService.java,55,42,36,49,44
project-fast\src\main\java\io\linfeng\modules\oss\controller\SysOssController.java,97,85,79,101,83
