Class Path,P1,P2,P3,P4,P5
project-fast\src\main\java\io\linfeng\Applications.java,39,40,37,33,42
project-fast\src\main\java\io\linfeng\common\aspect\RedisAspect.java,53,41,41,37,44
project-fast\src\main\java\io\linfeng\common\aspect\SysLogAspect.java,92,87,82,88,91
project-fast\src\main\java\io\linfeng\common\exception\LinfengException.java,51,49,48,52,57
project-fast\src\main\java\io\linfeng\common\exception\LinfengExceptionHandler.java,68,64,60,56,69
project-fast\src\main\java\io\linfeng\common\thread\AsyncTaskExecutePool.java,63,64,60,58,66
project-fast\src\main\java\io\linfeng\common\utils\AppPageUtils.java,62,62,59,63,65
project-fast\src\main\java\io\linfeng\common\utils\CopyPageQueryUtil.java,58,59,56,60,62
project-fast\src\main\java\io\linfeng\common\utils\DateUtil.java,295,290,287,275,285
project-fast\src\main\java\io\linfeng\common\utils\DateUtils.java,102,91,94,90,105
project-fast\src\main\java\io\linfeng\common\utils\FileCheckUtil.java,45,28,33,38,37
project-fast\src\main\java\io\linfeng\common\utils\HttpContextUtils.java,75,60,65,63,67
project-fast\src\main\java\io\linfeng\common\utils\IPUtil.java,57,51,47,53,54
project-fast\src\main\java\io\linfeng\common\utils\IPUtils.java,63,58,56,61,68
project-fast\src\main\java\io\linfeng\common\utils\JsonUtils.java,43,38,33,38,42
project-fast\src\main\java\io\linfeng\common\utils\MapUtils.java,38,38,33,29,42
project-fast\src\main\java\io\linfeng\common\utils\PageUtils.java,45,45,42,46,51
project-fast\src\main\java\io\linfeng\common\utils\Query.java,101,93,90,97,98
project-fast\src\main\java\io\linfeng\common\utils\R.java,60,58,55,52,63
project-fast\src\main\java\io\linfeng\common\utils\RedisKeys.java,33,24,21,27,32
project-fast\src\main\java\io\linfeng\common\utils\RedisUtils.java,126,119,115,122,124
project-fast\src\main\java\io\linfeng\common\utils\RequestUtils.java,46,37,35,42,47
project-fast\src\main\java\io\linfeng\common\utils\ShiroUtils.java,83,73,73,80,79
project-fast\src\main\java\io\linfeng\common\utils\SpringContextUtils.java,81,77,74,85,83
project-fast\src\main\java\io\linfeng\common\utils\WechatUtil.java,83,82,80,89,85
project-fast\src\main\java\io\linfeng\common\validator\Assert.java,64,52,52,56,57
project-fast\src\main\java\io\linfeng\common\validator\ValidatorUtils.java,73,65,64,70,73
project-fast\src\main\java\io\linfeng\common\xss\HTMLFilter.java,630,617,617,620,628
project-fast\src\main\java\io\linfeng\common\xss\SQLFilter.java,53,49,44,50,49
project-fast\src\main\java\io\linfeng\common\xss\XssFilter.java,54,51,48,45,56
project-fast\src\main\java\io\linfeng\common\xss\XssHttpServletRequestWrapper.java,264,261,257,250,267
project-fast\src\main\java\io\linfeng\config\CorsConfig.java,61,54,52,55,62
project-fast\src\main\java\io\linfeng\config\FilterConfig.java,48,38,37,42,47
project-fast\src\main\java\io\linfeng\config\KaptchaConfig.java,58,48,45,51,47
project-fast\src\main\java\io\linfeng\config\MybatisPlusConfig.java,32,28,23,35,32
project-fast\src\main\java\io\linfeng\config\RedisConfig.java,73,64,60,75,66
project-fast\src\main\java\io\linfeng\config\ShiroConfig.java,102,98,93,97,105
project-fast\src\main\java\io\linfeng\config\SwaggerConfig.java,63,61,52,60,57
project-fast\src\main\java\io\linfeng\datasource\aspect\DataSourceAspect.java,107,99,96,95,98
project-fast\src\main\java\io\linfeng\datasource\config\DynamicContextHolder.java,142,140,136,134,148
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSource.java,39,28,30,36,42
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSourceConfig.java,71,67,58,65,65
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSourceFactory.java,75,68,66,77,77
project-fast\src\main\java\io\linfeng\datasource\properties\DataSourceProperties.java,57,48,47,53,52
project-fast\src\main\java\io\linfeng\datasource\properties\DynamicDataSourceProperties.java,57,53,45,52,55
project-fast\src\main\java\io\linfeng\modules\job\config\ScheduleConfig.java,48,47,40,44,48
project-fast\src\main\java\io\linfeng\modules\job\controller\ScheduleJobController.java,66,63,60,64,69
project-fast\src\main\java\io\linfeng\modules\job\controller\ScheduleJobLogController.java,72,63,60,68,65
project-fast\src\main\java\io\linfeng\modules\job\dao\ScheduleJobDao.java,32,34,24,35,32
project-fast\src\main\java\io\linfeng\modules\job\service\impl\ScheduleJobLogServiceImpl.java,62,52,50,55,59
project-fast\src\main\java\io\linfeng\modules\job\service\impl\ScheduleJobServiceImpl.java,140,138,133,136,138
project-fast\src\main\java\io\linfeng\modules\job\service\ScheduleJobLogService.java,27,23,20,17,29
project-fast\src\main\java\io\linfeng\modules\job\service\ScheduleJobService.java,46,38,36,43,42
project-fast\src\main\java\io\linfeng\modules\job\task\ITask.java,51,38,38,45,44
project-fast\src\main\java\io\linfeng\modules\job\task\TestTask.java,41,38,35,32,43
project-fast\src\main\java\io\linfeng\modules\job\utils\ScheduleJob.java,72,63,60,64,68
project-fast\src\main\java\io\linfeng\modules\job\utils\ScheduleUtils.java,191,184,178,175,183
project-fast\src\main\java\io\linfeng\modules\oss\cloud\AliyunCloudStorageService.java,71,63,60,66,64
project-fast\src\main\java\io\linfeng\modules\oss\cloud\CloudStorageService.java,47,47,41,45,50
project-fast\src\main\java\io\linfeng\modules\oss\cloud\OSSFactory.java,62,61,56,59,65
project-fast\src\main\java\io\linfeng\modules\oss\cloud\QcloudCloudStorageService.java,86,81,78,88,85
project-fast\src\main\java\io\linfeng\modules\oss\cloud\QiniuCloudStorageService.java,74,65,61,65,70
project-fast\src\main\java\io\linfeng\modules\oss\controller\SysOssController.java,87,91,85,92,94
project-fast\src\main\java\io\linfeng\modules\oss\service\impl\SysOssServiceImpl.java,53,49,44,50,52
project-fast\src\main\java\io\linfeng\modules\oss\service\SysOssService.java,29,24,21,23,27
project-fast\src\main\java\io\linfeng\modules\sys\controller\AbstractController.java,32,32,28,32,34
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysConfigController.java,55,52,49,55,57
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysLogController.java,56,52,48,44,61
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysLoginController.java,111,99,100,99,109
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysMenuController.java,245,241,237,231,243
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysRoleController.java,66,62,60,63,69
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysUserController.java,89,88,85,79,93
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysConfigDao.java,45,37,36,42,48
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysMenuDao.java,43,34,31,35,42
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysRoleDao.java,33,27,21,29,33
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysRoleMenuDao.java,41,29,29,33,42
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserDao.java,51,44,41,45,48
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserRoleDao.java,36,31,27,35,33
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserTokenDao.java,42,35,33,37,41
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\OAuth2Filter.java,153,143,144,148,156
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\OAuth2Realm.java,103,98,95,98,99
