Absolute Classe Path,P1,P4,P3,P2,P5
trymall\trymall-db\src\main\java\com\linfeng\db\base\BaseInterface.java,95,99,106,98,100
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiResult.java,212,210,227,217,219
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\HomeServiceImpl.java,307,304,318,309,315
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\HdkApiRequest.java,89,92,103,91,97
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\DiscoveryServiceImpl.java,232,236,246,236,239
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\GoodsServiceImpl.java,193,202,199,196,201
trymall\trymall-common\src\main\java\com\linfeng\common\exception\TrymallException.java,68,74,78,75,74
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SearchServiceImpl.java,129,129,144,133,136
trymall\trymall-api\src\main\java\com\linfeng\api\service\LogService.java,24,21,37,25,32
trymall\trymall-api\src\main\java\com\linfeng\api\service\BrandService.java,30,26,37,35,38
trymall\trymall-api\src\main\java\com\linfeng\api\service\HomeService.java,21,18,28,29,26
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSysConfigService.java,36,35,47,43,42
trymall\trymall-common\src\main\java\com\linfeng\common\domain\tbk\TrymallBanner.java,22,25,31,30,27
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallCourseService.java,32,31,47,38,42
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSystemMessageService.java,25,29,40,29,33
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallBannerService.java,31,35,36,37,40
trymall\trymall-api\src\main\java\com\linfeng\api\controller\UploadController.java,75,76,90,83,82
trymall\trymall-api\src\main\java\com\linfeng\api\service\DiscoveryService.java,21,16,28,28,26
trymall\trymall-api\src\main\java\com\linfeng\api\service\GoodsService.java,22,25,31,23,27
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallBannerServiceImpl.java,55,60,61,57,62
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallCourse.java,31,41,42,34,36
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallSystemMessage.java,16,12,28,17,24
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallCourseController.java,85,95,93,92,93
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSystemMessageController.java,69,72,74,70,79
trymall\trymall-common\src\main\java\com\linfeng\common\domain\system\Log.java,44,49,57,46,53
trymall\trymall-api\src\main\java\com\linfeng\api\service\SearchService.java,18,23,32,22,26
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiBrand.java,17,18,22,23,24
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiColumn.java,28,28,43,32,37
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiDeserver.java,22,25,34,26,28
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiHot.java,21,31,30,24,27
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTalent.java,12,8,17,16,19
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTalentArticle.java,10,19,19,16,17
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiHandpick.java,12,18,17,16,20
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiNews.java,10,6,15,18,17
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTheme.java,15,15,27,23,25
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiThemeList.java,5,0,15,13,10
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsDetails.java,18,16,32,22,28
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsLike.java,21,30,34,25,28
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsRates.java,17,16,30,23,22
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiKeyword.java,15,21,21,19,23
trymall\trymall-api\src\main\java\com\linfeng\api\aspect\AppLogAspect.java,86,94,100,89,91
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiSearchGoods.java,34,31,48,37,43
trymall\trymall-api\src\main\java\com\linfeng\api\service\SystemConfigService.java,23,29,28,30,29
trymall\trymall-common\src\main\java\com\linfeng\common\domain\tbk\TrymallSysConfig.java,32,28,40,36,38
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\LogServiceImpl.java,56,53,70,60,65
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSearchhistoryService.java,25,30,31,30,33
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallBannerController.java,63,67,70,65,69
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallSearchhistory.java,21,28,31,27,31
trymall\trymall-api\src\main\java\com\linfeng\api\controller\BrandController.java,57,58,65,60,62
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSysConfigController.java,69,73,76,71,77
trymall\trymall-api\src\main\java\com\linfeng\api\service\QiNiuService.java,12,22,24,16,22
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallIssueService.java,18,27,31,24,28
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallCourseServiceImpl.java,43,48,50,48,50
trymall\trymall-api\src\main\java\com\linfeng\api\redis\listener\RedisKeyExpirationListener.java,69,73,80,75,79
