Absolute Classe Path,P1,P2,P3,P4,P5
trymall\trymall-db\src\main\java\com\linfeng\db\base\BaseInterface.java,113,103,90,107,91
trymall\trymall-api\src\main\java\com\linfeng\api\redis\util\RedisUtils.java,471,453,453,474,464
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiResult.java,226,215,211,226,221
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\HomeServiceImpl.java,325,300,304,314,299
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\DiscoveryServiceImpl.java,256,251,236,263,229
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\HdkApiRequest.java,117,102,97,124,95
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\GoodsServiceImpl.java,200,203,188,210,202
trymall\trymall-common\src\main\java\com\linfeng\common\exception\TrymallException.java,83,62,64,91,74
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SearchServiceImpl.java,152,150,135,164,154
trymall\trymall-api\src\main\java\com\linfeng\api\service\LogService.java,32,22,19,39,10
trymall\trymall-api\src\main\java\com\linfeng\api\service\BrandService.java,63,57,43,51,42
trymall\trymall-api\src\main\java\com\linfeng\api\service\HomeService.java,47,27,22,42,32
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSysConfigService.java,63,41,38,54,38
trymall\trymall-common\src\main\java\com\linfeng\common\domain\tbk\TrymallBanner.java,48,24,23,53,35
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallCourseService.java,39,41,29,52,31
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSystemMessageService.java,54,45,40,70,43
trymall\trymall-api\src\main\java\com\linfeng\api\controller\UploadController.java,99,88,87,105,80
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallBannerService.java,64,42,45,66,61
trymall\trymall-api\src\main\java\com\linfeng\api\service\DiscoveryService.java,34,32,19,32,11
trymall\trymall-api\src\main\java\com\linfeng\api\service\GoodsService.java,29,18,17,27,13
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallBannerServiceImpl.java,84,82,68,98,74
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallCourseController.java,122,103,98,103,100
